"014615290","0.57","0.52","0.63","-0.01","-0.01","0.01"
"014615308","0.57","0.52","0.63","-0.00","-0.01","0.01"
"014615313","0.57","0.52","0.63","-0.00","-0.00","-0.00"
"014615328","0.57","0.52","0.63","-0.01","-0.00","0.00"
"014615331","0.57","0.52","0.63","-0.01","-0.00","-0.01"
"014615347","0.57","0.52","0.63","-0.00","0.00","-0.01"
"014615351","0.57","0.52","0.63","0.00","0.00","-0.00"
"014615366","0.57","0.52","0.63","-0.00","-0.00","-0.00"
"014615370","0.57","0.52","0.63","-0.00","-0.00","-0.00"
"014615386","0.57","0.52","0.63","-0.00","-0.00","-0.00"
"014615389","0.57","0.52","0.63","-0.01","-0.01","-0.01"
"014615407","0.57","0.52","0.63","-0.01","-0.01","-0.00"
"014615411","0.57","0.52","0.63","-0.01","-0.01","0.00"
"014615424","0.57","0.52","0.63","-0.01","-0.01","0.00"
"014615429","0.57","0.52","0.63","-0.00","-0.00","-0.00"
"014615444","0.57","0.52","0.63","0.00","-0.00","0.00"
"014615448","0.76","0.46","0.47","0.00","0.00","0.00"
"014615463","0.76","0.46","0.47","0.00","0.01","-0.00"
"014615467","0.62","0.77","-0.14","-0.00","0.00","0.00"
"014615483","0.62","0.77","-0.14","-0.01","-0.00","0.00"
"014615486","0.71","0.48","-0.52","-0.02","-0.01","0.00"
"014615502","0.71","0.48","-0.52","-0.02","-0.01","0.01"
"014615506","0.62","0.39","-0.69","-0.03","-0.01","-0.00"
"014615522","0.62","0.39","-0.69","-0.03","-0.00","-0.00"
"014615526","0.57","0.27","-0.78","-0.01","0.00","-0.00"
"014615541","0.57","0.27","-0.78","0.00","0.00","-0.00"
"014615545","0.52","0.19","-0.83","0.00","-0.00","-0.00"
"014615560","0.52","0.19","-0.83","0.00","-0.00","-0.00"
"014615564","0.48","0.12","-0.87","-0.00","-0.00","-0.00"
"014615579","0.48","0.12","-0.87","-0.01","0.01","0.00"
"014615583","0.45","0.07","-0.89","-0.01","0.00","0.00"
"014615599","0.45","0.07","-0.89","-0.01","0.01","0.00"
"014615602","0.42","0.04","-0.91","-0.01","0.00","-0.00"
"014615618","0.42","0.04","-0.91","-0.00","0.01","0.00"
"014615622","0.40","0.00","-0.92","-0.01","0.01","-0.00"
"014615638","0.40","0.00","-0.92","0.00","0.01","0.00"
"014615642","0.38","-0.02","-0.93","-0.01","0.01","-0.00"
"014615657","0.38","-0.02","-0.93","-0.00","0.01","0.00"
"014615661","0.36","-0.05","-0.93","-0.00","0.00","-0.00"
"014615677","0.36","-0.05","-0.93","-0.00","-0.00","0.01"
"014615680","0.34","-0.06","-0.94","0.00","0.00","0.00"
"014615696","0.34","-0.06","-0.94","0.00","0.00","0.01"
"014615699","0.33","-0.08","-0.94","-0.00","0.00","0.00"
"014615715","0.33","-0.08","-0.94","0.00","0.01","0.00"
"014615719","0.32","-0.10","-0.94","0.00","0.01","-0.00"
"014615735","0.32","-0.10","-0.94","0.00","0.01","-0.00"
"014615739","0.31","-0.11","-0.95","-0.00","0.00","0.00"
"014615754","0.31","-0.11","-0.95","-0.01","0.00","0.00"
"014615758","0.30","-0.12","-0.95","-0.00","-0.00","0.00"
"014615773","0.30","-0.12","-0.95","-0.00","0.00","0.00"
"014615778","0.29","-0.13","-0.95","-0.00","0.00","0.00"
"014615793","0.29","-0.13","-0.95","-0.01","0.00","0.00"
"014615796","0.28","-0.14","-0.95","-0.01","0.00","0.00"
"014615812","0.28","-0.14","-0.95","-0.01","0.01","-0.00"
"014615816","0.27","-0.15","-0.95","-0.01","0.01","-0.00"
"014615831","0.27","-0.15","-0.95","-0.01","0.01","-0.00"
"014615835","0.27","-0.15","-0.95","0.00","0.00","0.00"
"014615851","0.27","-0.15","-0.95","0.01","0.00","0.00"
"014615855","0.26","-0.16","-0.95","0.01","0.01","0.00"
"014615871","0.26","-0.16","-0.95","0.01","0.00","-0.00"
"014615874","0.26","-0.17","-0.95","0.00","0.00","0.00"
"014615890","0.26","-0.17","-0.95","-0.01","0.01","-0.01"
"014615894","0.25","-0.17","-0.95","-0.01","0.01","-0.00"
"014615909","0.25","-0.17","-0.95","-0.01","0.01","-0.01"
"014615912","0.25","-0.18","-0.95","-0.01","0.02","-0.01"
